Model year,Make,Model,Vehicle class,City (kWh/100 km),Highway (kWh/100 km),Combined (kWh/100 km),Range (km),CO2 rating ,Recharge time (h)
2024,Rivian,"R1S Dual Large (21"" Wheels)",Sport utility vehicle: Standard,25.6,28.4,26.9,566,10.0,13
2024,Rivian,"R1S Performance Dual Large (21"" Wheels)",Sport utility vehicle: Standard,25.6,28.4,26.9,566,10.0,13
2024,Rivian,"R1S Dual Large (22"" Wheels)",Sport utility vehicle: Standard,26.3,29.6,27.8,549,10.0,13
2024,Rivian,"R1S Performance Dual Large (22"" Wheels)",Sport utility vehicle: Standard,26.3,29.6,27.8,549,10.0,13
2024,Rivian,"R1S All-Terrain Dual Max (20"" Wheels)",Sport utility vehicle: Standard,26.7,31.1,28.7,571,10.0,14
2024,Rivian,"R1S All-Terrain Performance Dual Max (20"" Wheels)",Sport utility vehicle: Standard,26.7,31.1,28.7,571,10.0,14
2024,Rivian,"R1S Dual Max (21"" Wheels)",Sport utility vehicle: Standard,23.5,27.7,25.4,644,10.0,14
2024,Rivian,"R1S Performance Dual Max (21"" Wheels)",Sport utility vehicle: Standard,23.5,27.7,25.4,644,10.0,14
2024,Rivian,"R1S Dual Max (22"" Wheels)",Sport utility vehicle: Standard,25.0,29.3,26.9,612,10.0,14
2024,Rivian,"R1S Performance Dual Max (22"" Wheels)",Sport utility vehicle: Standard,25.0,29.3,26.9,612,10.0,14
2024,Rivian,"R1S Quad Large (20"" Wheels)",Sport utility vehicle: Standard,30.5,35.1,32.5,465,10.0,13
2024,Rivian,"R1S All-Terrain Quad Large (20"" Wheels)",Sport utility vehicle: Standard,32.0,35.0,33.4,441,10.0,13
2024,Rivian,"R1S Quad Large (21"" Wheels)",Sport utility vehicle: Standard,27.8,31.5,29.5,517,10.0,13
2024,Rivian,"R1S Quad Large (22"" Wheels)",Sport utility vehicle: Standard,28.7,33.1,30.7,488,10.0,13
2024,Rivian,"R1T All-Terrain Dual Large (20"" Wheels)",Pickup truck: Standard,29.0,32.5,30.6,494,10.0,13
2024,Rivian,"R1T AT Performance Dual Large (20"" Wheels)",Pickup truck: Standard,29.0,32.5,30.6,494,10.0,13
2024,Rivian,"R1T Dual Large (21"" Wheels)",Pickup truck: Standard,25.6,28.4,26.9,566,10.0,13
2024,Rivian,"R1T Performance Dual Large (21"" Wheels)",Pickup truck: Standard,25.6,28.4,26.9,566,10.0,13
2024,Rivian,"R1T Dual Large (22"" Wheels)",Pickup truck: Standard,26.1,29.5,27.6,549,10.0,13
2024,Rivian,"R1T Performance Dual Large (22"" Wheels)",Pickup truck: Standard,26.1,29.5,27.6,549,10.0,13
2024,Rivian,"R1T All-Terrain Dual Max (20"" Wheels)",Pickup truck: Standard,26.7,31.1,28.7,571,10.0,14
2024,Rivian,"R1T All-Terrain Performance Dual Max (20"" Wheels)",Pickup truck: Standard,26.7,31.1,28.7,571,10.0,14
2024,Rivian,"R1T Dual Max (21"" Wheels)",Pickup truck: Standard,23.0,27.0,24.8,661,10.0,14
2024,Rivian,"R1T Performance Dual Max (21"" Wheels)",Pickup truck: Standard,23.0,27.0,24.8,661,10.0,14
2024,Rivian,"R1T Dual Max (22"" Wheels)",Pickup truck: Standard,25.0,29.3,26.9,612,10.0,14
2024,Rivian,"R1T Performance Dual Max (22"" Wheels)",Pickup truck: Standard,25.0,29.3,26.9,612,10.0,14
2024,Rivian,"R1T Quad Large (20"" Wheels)",Pickup truck: Standard,30.5,35.1,32.5,465,10.0,13
2024,Rivian,"R1T All-Terrain Quad Large (20"" Wheels)",Pickup truck: Standard,32.0,35.0,33.4,441,10.0,13
2024,Rivian,"R1T Quad Large (21"" Wheels)",Pickup truck: Standard,27.4,30.2,28.7,528,10.0,13
2024,Rivian,"R1T Quad Large (22"" Wheels)",Pickup truck: Standard,28.7,33.1,30.7,488,10.0,13
2024,Rolls-Royce,"Spectre (22"" Wheels)",Compact,27.0,24.2,25.8,468,10.0,11
2024,Rolls-Royce,"Spectre (23"" Wheels)",Compact,29.7,26.5,28.2,428,10.0,11
2024,Rolls-Royce,"Black Badge Spectre (22"" Wheels)",Compact,28.3,25.0,26.8,451,10.0,11
2024,Rolls-Royce,"Black Badge Spectre (23"" Wheels)",Compact,29.7,27.1,28.5,425,10.0,11
2024,Subaru,Solterra AWD,Sport utility vehicle: Small,18.8,22.6,20.5,359,10.0,11
2024,Tesla,Model 3 RWD,Mid-size,15.0,16.8,15.8,438,10.0,8
2024,Tesla,Model 3 RWD (Import),Mid-size,14.7,16.2,15.4,438,10.0,8
2024,Tesla,Model 3 Long Range AWD,Mid-size,15.3,16.9,16.1,549,10.0,10
2024,Tesla,Model 3 Long Range AWD (Import),Mid-size,15.5,17.0,16.2,549,10.0,10
2024,Tesla,Model S,Full-size,16.5,18.1,17.2,647,10.0,15
2024,Tesla,"Model S Plaid (19"" Wheels)",Full-size,18.8,20.4,19.6,578,10.0,15
2024,Tesla,"Model S Plaid (21"" Wheels)",Full-size,21.0,22.9,21.9,515,10.0,15
2024,Tesla,Model X,Sport utility vehicle: Standard,20.0,21.9,20.9,539,10.0,14
2024,Tesla,"Model X Plaid (20"" Wheels)",Sport utility vehicle: Standard,20.5,22.7,21.5,525,10.0,14
2024,Tesla,"Model X Plaid (22"" Wheels)",Sport utility vehicle: Standard,22.2,24.3,23.2,483,10.0,14
2024,Tesla,Model Y RWD,Sport utility vehicle: Small,16.3,18.7,17.4,418,10.0,8
2024,Tesla,Model Y Long Range AWD,Sport utility vehicle: Small,17.4,18.2,17.8,497,10.0,10
2024,Tesla,Model Y Performance,Sport utility vehicle: Small,18.3,20.4,19.2,459,10.0,10
2024,Toyota,bZ4X,Sport utility vehicle: Small,16.0,19.5,17.6,406,10.0,11
2024,Toyota,bZ4X AWD,Sport utility vehicle: Small,18.4,22.3,20.1,367,10.0,11
2024,VinFast,VF8 ECO,Sport utility vehicle: Small,26.4,29.5,27.8,425,10.0,12
2024,VinFast,VF8 PLUS,Sport utility vehicle: Small,28.4,30.8,29.5,356,10.0,12
2024,VinFast,VF8 PLUS Performance,Sport utility vehicle: Small,43.8,48.4,45.9,391,10.0,12
2024,VinFast,VF9 ECO,Sport utility vehicle: Standard,26.6,29.5,27.9,531,10.0,15
2024,VinFast,VF9 PLUS,Sport utility vehicle: Standard,29.4,31.9,30.5,468,10.0,15
2024,Volkswagen,ID.4,Sport utility vehicle: Small,18.2,21.3,19.6,332,10.0,6
2024,Volkswagen,ID.4 S,Sport utility vehicle: Small,18.2,21.3,19.6,332,10.0,6
2024,Volkswagen,ID.4 Pro,Sport utility vehicle: Small,17.1,20.2,18.5,468,10.0,8
2024,Volkswagen,ID.4 Pro S,Sport utility vehicle: Small,17.1,20.2,18.5,468,10.0,8
2024,Volkswagen,ID.4 AWD Pro,Sport utility vehicle: Small,19.4,21.9,20.5,423,10.0,8
2024,Volkswagen,ID.4 AWD Pro S,Sport utility vehicle: Small,19.4,21.9,20.5,423,10.0,8
2024,Volvo,C40 Recharge,Sport utility vehicle: Small,17.8,21.8,19.6,478,10.0,8
2024,Volvo,C40 Recharge Twin,Sport utility vehicle: Small,19.8,23.0,21.2,414,10.0,8
2024,Volvo,XC40 Recharge,Sport utility vehicle: Small,17.8,22.0,19.7,472,10.0,8
2024,Volvo,XC40 Recharge Twin,Sport utility vehicle: Small,19.8,23.4,21.4,409,10.0,8
